source,source_txn_id,order_ref,amount,currency,txn_time,status,description
BANK,UTR001338908386,ORD-2026-0001,33200.00,INR,2026-08-01T17:01:00Z,credited,NEFT credit settlement ORD-2026-0001
BANK,UTR615594078161,ORD-2026-0002,30600.00,INR,2026-08-01T20:00:00Z,credited,NEFT credit settlement ORD-2026-0002
BANK,UTR475255341928,ORD-2026-0003,32100.00,INR,2026-08-01T21:36:00Z,credited,NEFT credit settlement ORD-2026-0003
BANK,UTR564139537672,ORD-2026-0004,24100.50,INR,2026-08-02T00:17:00Z,credited,NEFT credit settlement ORD-2026-0004
BANK,UTR226916697848,ORD-2026-0005,13100.00,INR,2026-08-01T22:37:00Z,credited,NEFT credit settlement ORD-2026-0005
BANK,UTR814893252880,ORD-2026-0006,35400.00,INR,2026-08-02T05:21:00Z,credited,NEFT credit settlement ORD-2026-0006
BANK,UTR182278248963,ORD-2026-0007,1400.00,INR,2026-08-02T05:23:00Z,credited,NEFT credit settlement ORD-2026-0007
BANK,UTR010310518347,ORD-2026-0008,20900.00,INR,2026-08-02T07:28:00Z,credited,NEFT credit settlement ORD-2026-0008
BANK,UTR010651333872,ORD-2026-0009,7200.50,INR,2026-08-02T12:15:00Z,credited,NEFT credit settlement ORD-2026-0009
BANK,UTR132677360260,ORD-2026-0010,14700.50,INR,2026-08-02T14:15:00Z,credited,NEFT credit settlement ORD-2026-0010
BANK,UTR980500978820,ORD-2026-0011,23700.00,INR,2026-08-02T11:27:00Z,credited,NEFT credit settlement ORD-2026-0011
BANK,UTR985435346247,ORD-2026-0012,4000.00,INR,2026-08-02T17:15:00Z,credited,NEFT credit settlement ORD-2026-0012
BANK,UTR542784980841,ORD-2026-0013,900.50,INR,2026-08-02T16:39:00Z,credited,NEFT credit settlement ORD-2026-0013
BANK,UTR401640052427,ORD-2026-0014,6400.00,INR,2026-08-02T22:35:00Z,credited,NEFT credit settlement ORD-2026-0014
BANK,UTR045053315869,ORD-2026-0015,900.00,INR,2026-08-02T20:04:00Z,credited,NEFT credit settlement ORD-2026-0015
BANK,UTR421607337543,ORD-2026-0016,8800.00,INR,2026-08-02T23:26:00Z,credited,NEFT credit settlement ORD-2026-0016
BANK,UTR501429401965,ORD-2026-0017,34200.00,INR,2026-08-03T03:25:00Z,credited,NEFT credit settlement ORD-2026-0017
BANK,UTR356159514846,ORD-2026-0018,31500.00,INR,2026-08-03T05:24:00Z,credited,NEFT credit settlement ORD-2026-0018
BANK,UTR804436995777,ORD-2026-0019,36100.00,INR,2026-08-03T05:35:00Z,credited,NEFT credit settlement ORD-2026-0019
BANK,UTR320037917693,ORD-2026-0020,24700.00,INR,2026-08-03T10:05:00Z,credited,NEFT credit settlement ORD-2026-0020
BANK,UTR870831727889,ORD-2026-0021,20900.00,INR,2026-08-03T11:09:00Z,credited,NEFT credit settlement ORD-2026-0021
BANK,UTR873471434558,ORD-2026-0022,31800.50,INR,2026-08-03T09:35:00Z,credited,NEFT credit settlement ORD-2026-0022
BANK,UTR669096705466,ORD-2026-0023,8200.00,INR,2026-08-03T13:24:00Z,credited,NEFT credit settlement ORD-2026-0023
BANK,UTR980699016272,ORD-2026-0024,11700.00,INR,2026-08-03T12:27:00Z,credited,NEFT credit settlement ORD-2026-0024
BANK,UTR708053100330,ORD-2026-0025,19900.00,INR,2026-08-03T16:13:00Z,credited,NEFT credit settlement ORD-2026-0025
BANK,UTR124190496631,ORD-2026-0026,6900.50,INR,2026-08-03T19:07:00Z,credited,NEFT credit settlement ORD-2026-0026
BANK,UTR506716572628,ORD-2026-0027,36100.00,INR,2026-08-03T22:38:00Z,credited,NEFT credit settlement ORD-2026-0027
BANK,UTR379965075273,ORD-2026-0028,28000.50,INR,2026-08-04T01:29:00Z,credited,NEFT credit settlement ORD-2026-0028
BANK,UTR377701436349,ORD-2026-0029,17900.00,INR,2026-08-04T03:38:00Z,credited,NEFT credit settlement ORD-2026-0029
BANK,UTR182337498941,ORD-2026-0030,28800.00,INR,2026-08-04T03:27:00Z,credited,NEFT credit settlement ORD-2026-0030
BANK,UTR710947775204,ORD-2026-0031,12100.00,INR,2026-08-04T09:11:00Z,credited,NEFT credit settlement ORD-2026-0031
BANK,UTR869993867749,ORD-2026-0032,3800.50,INR,2026-08-04T10:31:00Z,credited,NEFT credit settlement ORD-2026-0032
BANK,UTR812067974034,ORD-2026-0033,29600.00,INR,2026-08-04T10:39:00Z,credited,NEFT credit settlement ORD-2026-0033
BANK,UTR421024994717,ORD-2026-0034,4100.00,INR,2026-08-04T12:16:00Z,credited,NEFT credit settlement ORD-2026-0034
BANK,UTR990490278742,ORD-2026-0035,14400.50,INR,2026-08-04T16:28:00Z,credited,NEFT credit settlement ORD-2026-0035
