case_id,kind,order_ref,should_match
ORD-2026-0001,EXACT_TRIPLE,ORD-2026-0001,True
ORD-2026-0002,EXACT_TRIPLE,ORD-2026-0002,True
ORD-2026-0003,EXACT_TRIPLE,ORD-2026-0003,True
ORD-2026-0004,EXACT_TRIPLE,ORD-2026-0004,True
ORD-2026-0005,EXACT_TRIPLE,ORD-2026-0005,True
ORD-2026-0006,EXACT_TRIPLE,ORD-2026-0006,True
ORD-2026-0007,EXACT_TRIPLE,ORD-2026-0007,True
ORD-2026-0008,EXACT_TRIPLE,ORD-2026-0008,True
ORD-2026-0009,EXACT_TRIPLE,ORD-2026-0009,True
ORD-2026-0010,EXACT_TRIPLE,ORD-2026-0010,True
ORD-2026-0011,EXACT_TRIPLE,ORD-2026-0011,True
ORD-2026-0012,EXACT_TRIPLE,ORD-2026-0012,True
ORD-2026-0013,EXACT_TRIPLE,ORD-2026-0013,True
ORD-2026-0014,EXACT_TRIPLE,ORD-2026-0014,True
ORD-2026-0015,EXACT_TRIPLE,ORD-2026-0015,True
ORD-2026-0016,EXACT_TRIPLE,ORD-2026-0016,True
ORD-2026-0017,EXACT_TRIPLE,ORD-2026-0017,True
ORD-2026-0018,EXACT_TRIPLE,ORD-2026-0018,True
ORD-2026-0019,EXACT_TRIPLE,ORD-2026-0019,True
ORD-2026-0020,EXACT_TRIPLE,ORD-2026-0020,True
ORD-2026-0021,EXACT_TRIPLE,ORD-2026-0021,True
ORD-2026-0022,EXACT_TRIPLE,ORD-2026-0022,True
ORD-2026-0023,EXACT_TRIPLE,ORD-2026-0023,True
ORD-2026-0024,EXACT_TRIPLE,ORD-2026-0024,True
ORD-2026-0025,EXACT_TRIPLE,ORD-2026-0025,True
ORD-2026-0026,EXACT_TRIPLE,ORD-2026-0026,True
ORD-2026-0027,EXACT_TRIPLE,ORD-2026-0027,True
ORD-2026-0028,EXACT_TRIPLE,ORD-2026-0028,True
ORD-2026-0029,EXACT_TRIPLE,ORD-2026-0029,True
ORD-2026-0030,EXACT_TRIPLE,ORD-2026-0030,True
ORD-2026-0031,EXACT_TRIPLE,ORD-2026-0031,True
ORD-2026-0032,EXACT_TRIPLE,ORD-2026-0032,True
ORD-2026-0033,EXACT_TRIPLE,ORD-2026-0033,True
ORD-2026-0034,EXACT_TRIPLE,ORD-2026-0034,True
ORD-2026-0035,EXACT_TRIPLE,ORD-2026-0035,True
ORD-2026-0036,EXACT_TRIPLE,ORD-2026-0036,True
ORD-2026-0037,EXACT_TRIPLE,ORD-2026-0037,True
ORD-2026-0038,EXACT_TRIPLE,ORD-2026-0038,True
