source,source_txn_id,order_ref,amount,currency,txn_time,status,description
LEDGER,JE-2026-0002-R,ORD-2026-0001,33200.00,INR,2026-08-01T15:10:00Z,posted,Sales receipt posted ORD-2026-0001
LEDGER,JE-2026-0003-R,ORD-2026-0002,30600.00,INR,2026-08-01T17:55:00Z,posted,Sales receipt posted ORD-2026-0002
LEDGER,JE-2026-0004-R,ORD-2026-0003,32100.00,INR,2026-08-01T18:32:00Z,posted,Sales receipt posted ORD-2026-0003
LEDGER,JE-2026-0005-R,ORD-2026-0004,24100.50,INR,2026-08-01T20:07:00Z,posted,Sales receipt posted ORD-2026-0004
LEDGER,JE-2026-0006-R,ORD-2026-0005,13100.00,INR,2026-08-01T22:21:00Z,posted,Sales receipt posted ORD-2026-0005
LEDGER,JE-2026-0007-R,ORD-2026-0006,35400.00,INR,2026-08-02T01:41:00Z,posted,Sales receipt posted ORD-2026-0006
LEDGER,JE-2026-0008-R,ORD-2026-0007,1400.00,INR,2026-08-02T02:57:00Z,posted,Sales receipt posted ORD-2026-0007
LEDGER,JE-2026-0009-R,ORD-2026-0008,20900.00,INR,2026-08-02T06:01:00Z,posted,Sales receipt posted ORD-2026-0008
LEDGER,JE-2026-0010-R,ORD-2026-0009,7200.50,INR,2026-08-02T06:16:00Z,posted,Sales receipt posted ORD-2026-0009
LEDGER,JE-2026-0011-R,ORD-2026-0010,14700.50,INR,2026-08-02T08:37:00Z,posted,Sales receipt posted ORD-2026-0010
LEDGER,JE-2026-0012-R,ORD-2026-0011,23700.00,INR,2026-08-02T10:29:00Z,posted,Sales receipt posted ORD-2026-0011
LEDGER,JE-2026-0013-R,ORD-2026-0012,4000.00,INR,2026-08-02T11:48:00Z,posted,Sales receipt posted ORD-2026-0012
LEDGER,JE-2026-0014-R,ORD-2026-0013,900.50,INR,2026-08-02T15:01:00Z,posted,Sales receipt posted ORD-2026-0013
LEDGER,JE-2026-0015-R,ORD-2026-0014,6400.00,INR,2026-08-02T18:13:00Z,posted,Sales receipt posted ORD-2026-0014
LEDGER,JE-2026-0016-R,ORD-2026-0015,900.00,INR,2026-08-02T18:19:00Z,posted,Sales receipt posted ORD-2026-0015
LEDGER,JE-2026-0017-R,ORD-2026-0016,8800.00,INR,2026-08-02T19:47:00Z,posted,Sales receipt posted ORD-2026-0016
LEDGER,JE-2026-0018-R,ORD-2026-0017,34200.00,INR,2026-08-02T23:31:00Z,posted,Sales receipt posted ORD-2026-0017
LEDGER,JE-2026-0019-R,ORD-2026-0018,31500.00,INR,2026-08-03T01:22:00Z,posted,Sales receipt posted ORD-2026-0018
LEDGER,JE-2026-0020-R,ORD-2026-0019,36100.00,INR,2026-08-03T04:00:00Z,posted,Sales receipt posted ORD-2026-0019
LEDGER,JE-2026-0021-R,ORD-2026-0020,24700.00,INR,2026-08-03T05:26:00Z,posted,Sales receipt posted ORD-2026-0020
LEDGER,JE-2026-0022-R,ORD-2026-0021,20900.00,INR,2026-08-03T07:17:00Z,posted,Sales receipt posted ORD-2026-0021
LEDGER,JE-2026-0023-R,ORD-2026-0022,31800.50,INR,2026-08-03T08:25:00Z,posted,Sales receipt posted ORD-2026-0022
LEDGER,JE-2026-0024-R,ORD-2026-0023,8200.00,INR,2026-08-03T11:43:00Z,posted,Sales receipt posted ORD-2026-0023
LEDGER,JE-2026-0025-R,ORD-2026-0024,11700.00,INR,2026-08-03T12:48:00Z,posted,Sales receipt posted ORD-2026-0024
LEDGER,JE-2026-0026-R,ORD-2026-0025,19900.00,INR,2026-08-03T14:29:00Z,posted,Sales receipt posted ORD-2026-0025
LEDGER,JE-2026-0027-R,ORD-2026-0026,6900.50,INR,2026-08-03T15:48:00Z,posted,Sales receipt posted ORD-2026-0026
LEDGER,JE-2026-0028-R,ORD-2026-0027,36100.00,INR,2026-08-03T20:30:00Z,posted,Sales receipt posted ORD-2026-0027
LEDGER,JE-2026-0029-R,ORD-2026-0028,28000.50,INR,2026-08-03T20:50:00Z,posted,Sales receipt posted ORD-2026-0028
